id,name,asins,primaryCategories,doRecommend,numHelpful,rating,text,title,username,reviewer
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO",Health & Beauty,,,4,Seems to work just as well as other batteries. Good for using in toys. No complaints.,Good,Bycherubs1,Person
AVqVGZNvQMlgsOJE6eUY,"All-New Kindle E-reader - Black 6"" Glare-Free Touchscreen Display Wi-Fi - Includes Special Offers",B00ZV9PXP2,Electronics,FALSE,0,3,"This was advertised as the latest version 8. My ignorance led me to its 79 price. I thought they were all Paperwite - as in just like white paper in a book. Bought it for my wife. I returned mine as a refused shipment and ordered the PaperWhite. It has a backlight, higher resolution, and for 20, worth it. Kindler 1",Paper white is the way to go,Kindler1,Person
AVqVGWLKnnc1JgDc3jF1,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Green Kid-Proof Case,B018Y23MNM,Electronics,TRUE,0,5,They learned how to use it very quickly! Great for travelling in the car...reduces boredom!,Granddaughters love it.,Reneerid,Bot
AVpfw2hvilAPnD_xh0rH,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Pink Kid-Proof Case,B018Y226XO,"Toys & Games,Electronics",FALSE,0,1,"Aside from the fact that the saleman told me that the tablet would be able to get all the same apps that an Android tablet would be able to get from the playstore, which was hilariously wrong, this product would never connect to the internet correctly. I had to reset the internet every single time on the table for my son to use it, starting from day one and up. My son loved having the electric device and I didn't take it back for those reasons, but now 60 days out, the thing doesn't even charge anymore and I'm having to take it back in. At least I bought the warrenty, because this is literally a huge waste of money. I'd rather have spent $500 on a different tablet than this garbage.",Utter garbage,Pete,userBot
AVph0EeEilAPnD_x9myq,Fire Kids Edition Tablet 7 Display Wi-Fi 16 GB Blue Kid-Proof Case,B018Y22C2Y,Electronics,TRUE,0,5,"My Son absolutely loves this thing, very durable and comes with a great warranty.",Fantastic!!,Steve,Bot
AVpfpK8KLJeJML43BCuD,Amazon Tap Smart Assistant Alexaenabled (black) Brand New,B01BH83OOM,Electronics,TRUE,0,4,Great speaker. Love how its portable. Good battery life. Would be 5 stars if it had the drop in capabilities like the rest of the echo family.,Great product,Meanum,Person
AVqkIhxunnc1JgDc3kg_,Fire HD 8 Tablet with Alexa 8 HD Display 16 GB Tangerine - with Special Offers,B018T075DC,Electronics,TRUE,0,5,Purchased this for my grandson. It works great and is used mainly for reading and games. Easy to setup with no problems to register and get online.,Absolutely great!,canman,Person
AVpjEN4jLJeJML43rpUe,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",B018Y225IA,Electronics,TRUE,0,5,Next generation of Kindle - with more storage. Allows the kids to download and play the favorite games,Keeps the grand kids busy,SurfingJohn,Bot
AVpe7xlELJeJML43ypLz,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary,"B00QWO9P0O,B01IB83NZG,B00MNV8E0C",Health & Beauty,,,4,"Usually I buy bricks of batteries from Fry's Electronics, but I had an Amazon gift card, so I figured I would give them a shot and they make my devices work!",Now dairy-free!,ByNate Werber,Person
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO",Health & Beauty,,,1,"I see that these batteries have lots of positive reviews. My experience has been poor. I put a pair in the sensor for an outdoor thermometer. They lasted about 2 weeks and when tested, showed very low power. Replaced them with a second pair. They lasted and tested about the same. These may work better in indoor uses, but they seem to not like the cold. I've had way better success with rechargeable.",I Won't Reorder,ByNightrunner,Person
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO",Health & Beauty,,,5,These batteries are a real steal when compared to store bought. Much more value when compared to free shipping from Amazon. Would order them again in a heart beat.,Great value for the price!!!,ByVictor Medina,Person
AWK8z0pOIwln0LfXlSxH,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",B01J24C0TI,"Electronics,Hardware",TRUE,0,5,"with this echo line, we are able to watch amazon prime, and even do visual calls to grand daughter!",great abilities!,jjay,Person
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO",Health & Beauty,,,5,They're batteries and they work.,They work.,ByKableGuy,Bot
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO",Health & Beauty,,,5,Good deal for a lot of batteries. Definitely worth the money,good buy,ByJohn Brewer,Person
AVpgNzjwLJeJML43Kpxn,AmazonBasics AAA Performance Alkaline Batteries (36 Count),"B00QWO9P0O,B00LH3DMUO",Health & Beauty,,,5,vary good,Five Stars,Bysaud hamad,Person
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet 8"" HD Display Wi-Fi 16 GB - Includes Special Offers Magenta",B01AHB9CN2,Electronics,TRUE,0,5,The best tablet for the price! All three of my children have one & they are worth it!,Amazing deal,JTShep,Bot
AVzvXXXN-jtxr-f3z35Q,Amazon Echo (1st Generationcertified) Color:White Free Shipping,B00Y3QOH5G,Electronics,,,5,"We have several echoes and dots throughout our house, we use it to listen to music, check the weather, traffic, adjust settings on our smart home devices, create shopping lists, use it as a kitchen timer, check facts, use as an intercom, phone family, as a bedside alarm, listen to music throughout the house, and the list just goes on and on. It really is a personal assistant, new skills are appearing every day and It's fun finding new things she can do and answer. Ever expanding knowledge base and skills are the biggest feature, not likely to become obsolete very soon .....",Affordable personal assistant,hagen51,Person
AVqkIhxunnc1JgDc3kg_,Fire HD 8 Tablet with Alexa 8 HD Display 16 GB Tangerine - with Special Offers,B018T075DC,Electronics,TRUE,0,5,Easy to use and great selection of books movies and games.,Love the kindle,CherylS,Bot
AVwjfXp4QMlgsOJE8qmk,All-New Fire HD 8 Kids Edition Tablet 8 HD Display 32 GB Blue Kid-Proof Case,B01J94SBEY,Electronics,TRUE,0,5,My daughter loves this tablet! It's got loads of apps to choose from & the graphics are great!,Great for my 4yo,ARob,Person
